mx	my	mz	ax	ay	az	gx	gy	gz	ms
-086	0394	0328	-027	-006	-262	00027	-0027	00005	307
-091	0375	0328	-012	-012	-255	00071	00066	00049	308
-073	0379	0328	-033	-002	-250	00169	-0012	-0011	309
-069	0380	0337	-028	-016	-257	00036	00030	00053	310
-078	0376	0326	-027	0004	-243	-0058	00076	-0006	311
-074	0365	0331	-034	-008	-241	00106	00041	00023	312
-074	0363	0341	-029	-002	-245	-0098	-0015	-0002	313
-081	0366	0334	-022	-002	-255	00104	-0020	-0013	314
-081	0368	0327	-034	0004	-257	00069	00039	00002	315
-075	0350	0331	-037	-011	-279	-0086	00067	00008	316
-070	0343	0346	-034	0004	-239	-0054	00082	00016	317
-089	0362	0337	-028	0007	-237	-0126	-0153	-0058	318
-094	0384	0326	-010	-010	-247	-0062	-0124	00028	319
-081	0374	0331	-014	-012	-252	00046	00046	00012	320
-086	0369	0340	-029	-017	-244	00015	00085	00026	321
-083	0383	0319	-028	-017	-247	00052	-0025	-0024	322
-088	0380	0333	-032	-004	-264	-0055	00048	-0006	323
-095	0386	0330	-020	-012	-262	-0046	00073	-0005	324
-090	0383	0326	-022	-008	-245	00013	00036	00004	325
-094	0385	0329	-015	-006	-259	-0033	00016	-0005	326
-088	0373	0327	-021	0000	-251	00011	00027	00017	327
-086	0381	0332	-022	-001	-259	00009	00015	00001	328
-094	0381	0323	-017	0004	-279	-0090	-0024	00020	329
-095	0386	0336	-026	-004	-262	00089	-0105	00020	330
-098	0396	0328	-020	-008	-211	00008	-0125	00014	331
-088	0387	0325	-009	-019	-212	-0056	00166	00030	332
-093	0378	0329	-022	-007	-260	00010	00145	00009	333
-088	0393	0323	-028	-006	-277	00000	-0093	-0003	334
-093	0381	0316	-024	-008	-293	00056	-0032	-0003	335
-080	0388	0316	-020	-021	-255	00140	-0115	00048	336
-088	0398	0330	-009	-021	-211	-0187	-0069	-0003	337
-092	0394	0323	-012	-023	-205	-0118	00207	-0066	338
-089	0384	0327	-036	-017	-273	00012	00223	00043	339
-075	0363	0326	-027	-004	-279	00060	00064	00002	340
-076	0383	0321	-023	0000	-293	-0019	-0115	-0007	341
-076	0388	0319	-034	-018	-270	00176	-0138	00058	342
-080	0390	0317	-025	-011	-196	-0041	-0055	00023	343
-085	0393	0331	-015	-028	-221	-0025	00134	-0009	344
-079	0381	0334	-027	-008	-276	-0045	00241	-0008	345
-085	0366	0328	-028	-011	-288	-0030	00037	-0002	346
-092	0381	0328	-027	-009	-279	-0095	-0071	00012	347
-089	0386	0329	-013	-011	-254	00071	-0163	00002	348
-085	0390	0324	-025	-008	-255	00076	-0044	00033	349
-101	0403	0329	-006	-017	-201	-0076	-0092	-0040	350
-094	0397	0335	-014	-020	-214	-0062	00152	00019	351
-074	0383	0326	-008	-019	-256	00197	00172	00009	352
-090	0392	0326	-024	-007	-268	-0072	00012	-0012	353
-087	0389	0326	-020	0001	-294	00054	-0063	-0003	354
-077	0385	0320	-030	-023	-271	00076	-0083	00021	355
-075	0395	0318	-034	-013	-229	-0037	-0075	00054	356
-093	0405	0326	-033	-026	-171	-0134	-0020	-0036	357
-087	0385	0319	-007	-016	-237	00022	00268	00032	358
-083	0387	0325	-026	0003	-260	00018	00008	-0066	359
-098	0392	0322	-021	-013	-290	00021	00074	00034	360
-080	0381	0325	-027	-012	-296	-0025	-0035	-0001	361
-088	0386	0330	-016	-012	-271	00049	-0127	00073	362
-085	0399	0315	-013	-012	-208	00168	-0204	00032	363
-096	0399	0326	-021	-028	-201	-0102	00188	-0001	364
-070	0378	0330	-026	-015	-257	00064	00180	00006	365
-086	0381	0319	-028	-005	-256	00005	00004	-0073	366
-079	0386	0321	-030	-007	-270	-0006	00010	-0015	367
-084	0384	0323	-024	-003	-300	-0060	00048	00041	368
-077	0381	0320	-025	-016	-287	00001	-0114	00032	369
-072	0396	0316	-020	-018	-184	-0228	-0074	00090	370
-073	0379	0321	-019	-030	-191	00165	00241	-0053	371
-080	0371	0326	-041	0004	-272	-0138	00198	-0002	372
-079	0380	0323	-025	0005	-279	-0029	-0078	-0002	373
-095	0392	0326	-016	-009	-253	-0137	-0025	-0030	374
-097	0388	0322	-012	-004	-255	-0044	-0131	-0042	375
-095	0403	0326	-015	-001	-255	-0006	-0066	-0028	376
-106	0412	0326	-005	-015	-256	-0055	-0055	-0013	377
-116	0426	0327	-014	-029	-262	-0139	-0115	-0013	378
-108	0423	0325	-003	-026	-245	00038	00014	-0003	379
-114	0423	0328	-020	-019	-256	-0123	-0026	-0042	380
-109	0426	0329	-002	-025	-265	00015	-0016	-0002	381
-108	0424	0323	-003	-031	-272	00248	-0027	00029	382
-102	0423	0323	-011	-027	-253	00024	00088	00076	383
-092	0414	0317	-017	-017	-263	00081	00054	00043	384
-089	0400	0319	-027	-006	-310	-0004	00150	00098	385
-070	0396	0326	0008	-009	-247	00474	00002	00070	386
-073	0397	0330	-013	-017	-179	-0099	-0069	-0028	387
-089	0389	0326	-008	-032	-216	-0136	00154	-0010	388
-075	0391	0320	-016	-002	-257	00105	00029	-0056	389
-101	0397	0319	-021	-013	-250	-0175	00012	-0043	390
-094	0401	0321	-021	-013	-259	00014	-0026	00001	391
-092	0411	0321	-028	-025	-263	-0043	-0032	-0038	392
-105	0412	0316	-033	-051	-214	-0060	-0007	-0041	393
-114	0423	0326	-012	-027	-242	-0206	00178	00092	394
-133	0432	0327	-024	-013	-238	-0204	-0119	-0110	395
-130	0430	0329	0004	-026	-255	-0034	00049	00004	396
-128	0428	0328	-005	-026	-257	00154	-0029	00026	397
-124	0429	0327	-013	-028	-263	-0020	00037	00003	398
-127	0425	0334	-001	-018	-254	00049	00025	00019	399
-127	0433	0332	-014	-023	-250	-0062	00024	-0007	400
-134	0435	0323	-006	-025	-254	00074	00010	00010	401
-128	0439	0323	0000	-027	-250	-0010	00016	00008	402
-119	0437	0333	-008	-024	-249	-0015	00012	-0001	403
-118	0431	0329	-004	-020	-258	-0025	00011	00001	404
-130	0425	0324	-007	-029	-253	00037	00006	00005	405
-120	0429	0326	-010	-022	-249	00021	00006	00006	406
-119	0430	0325	-008	-022	-254	-0010	00010	00005	407
-122	0432	0322	-011	-024	-252	-0015	00014	00001	408
-123	0432	0326	-009	-021	-257	00011	00016	00005	409
-123	0427	0336	-004	-022	-259	00013	00025	00011	410
